X coordinates of masses at time 1 : 0.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 2.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 4.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 6.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 8.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 10.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 12.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 14.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 16.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 18.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 20.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 22.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 24.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 26.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 28.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 30.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 32.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 34.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 36.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 38.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 40.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 42.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 44.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 46.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 48.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 50.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 52.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 54.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 56.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 58.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 60.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 62.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 64.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 66.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 68.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 70.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 72.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
X coordinates of masses at time 1 : 74.000000
Y coordinates of masses at time 1 : 0.000000
Z coordinates of masses at time 1 : 0.000000
